,id,age,dept,location,education,recruitment_type,job_level,rating,onsite,awards,certifications,salary,satisfied
69,HR1878,27,0,1,0,3,1,5,0,5,0,24076,1
70,HR5887,30,0,1,1,3,1,2,0,0,0,24076,0
71,HR5859,24,0,0,1,1,4,5,1,4,1,65715,0
72,PUR7331,38,2,0,1,0,2,2,1,4,1,29805,0
73,MKT9571,42,1,1,1,3,3,5,0,2,0,42419,1
74,HR9684,46,0,1,0,3,5,1,0,8,1,86750,1
75,MKT8208,27,1,1,0,3,5,1,0,0,1,86750,1
76,SAL6276,28,3,0,1,2,1,1,1,5,0,24076,1
77,TECH3062,23,4,0,0,2,4,1,1,5,0,65715,0
78,SAL1064,53,3,0,1,1,4,1,0,9,0,65715,1
79,SAL9006,26,3,0,1,0,5,1,0,4,1,86750,1
80,PUR3568,39,2,1,0,1,3,2,0,4,1,42419,1
81,TECH6463,35,4,0,1,0,2,4,1,9,0,29805,1
82,SAL3027,40,3,0,1,2,3,5,1,4,0,42419,1
83,SAL3695,27,3,0,1,2,2,1,1,5,1,29805,1
84,TECH6258,52,4,0,1,2,5,2,0,7,0,86750,1
85,TECH6618,46,4,1,1,1,2,2,0,1,1,29805,0
86,SAL7736,46,3,0,1,3,4,2,1,5,1,65715,1
87,TECH1391,49,4,0,1,3,1,4,0,0,0,24076,1
88,SAL6892,25,3,1,0,2,1,5,1,3,0,24076,1
89,SAL4561,33,3,1,0,3,5,4,0,9,1,86750,1
90,PUR7184,35,2,1,0,3,4,3,0,2,0,65715,0
91,HR4099,26,0,1,1,1,3,2,0,8,0,42419,0
92,SAL7278,48,3,1,1,0,4,3,0,2,0,65715,0
93,MKT9392,49,1,1,0,2,1,1,1,5,0,47559,0
94,HR4104,36,0,1,1,2,1,1,0,0,1,24076,0
95,HR8215,44,0,1,1,1,4,4,1,5,1,65715,0
96,HR3454,33,0,0,1,1,4,5,1,3,1,65715,1
97,PUR9996,54,2,0,1,3,1,3,1,7,1,24076,0
98,SAL3731,49,3,0,0,2,3,5,0,8,0,42419,0
99,PUR9154,32,2,0,0,0,5,4,1,3,0,86750,1
100,SAL6056,41,3,0,0,1,5,1,1,9,1,86750,0
101,PUR9110,40,2,0,1,0,4,5,1,9,1,65715,1
102,PUR4840,28,2,1,0,0,5,5,0,5,0,86750,1
103,MKT2028,49,1,1,0,2,1,1,0,0,1,24076,0
104,PUR8385,51,2,0,1,2,1,3,1,3,1,24076,1
105,TECH1502,37,4,0,1,1,4,1,0,6,0,47559,0
106,MKT7910,43,1,1,0,2,4,5,1,0,1,65715,0
107,PUR7938,52,2,1,0,2,4,3,1,7,0,65715,1
108,HR5488,32,0,1,0,2,3,3,0,9,0,42419,1
109,TECH1206,27,4,0,0,0,5,1,1,5,1,86750,0
110,TECH6134,48,4,1,1,1,4,5,0,4,0,65715,1
111,TECH6977,51,4,0,0,3,2,4,0,9,1,29805,1
112,MKT8721,27,1,0,0,0,2,5,1,8,0,29805,0
113,PUR8035,32,2,1,1,2,1,2,0,1,1,24076,0
114,PUR2484,50,2,1,0,0,5,4,0,4,1,86750,1
115,HR8858,27,0,0,1,2,4,3,1,5,1,65715,0
116,HR1863,25,0,1,1,2,2,4,1,6,0,29805,0
117,TECH3790,45,4,1,1,0,5,3,0,4,0,86750,0
118,HR8408,28,0,0,0,1,1,3,0,8,1,24076,0
119,MKT9755,26,1,1,0,2,3,4,1,0,0,42419,0
120,PUR6116,40,2,0,1,1,5,3,0,6,1,86750,0
121,TECH7019,50,4,0,0,3,5,3,0,9,1,86750,0
122,HR2757,31,0,1,0,2,3,2,0,6,0,42419,1
123,MKT8574,39,1,0,1,1,5,3,0,3,1,86750,0
124,MKT7374,51,1,0,1,1,1,5,0,8,0,24076,1
125,HR7892,35,0,1,0,3,1,2,0,4,1,24076,1
126,PUR2678,49,2,1,1,1,3,4,0,3,0,42419,1
127,HR4242,37,0,0,0,1,4,1,1,6,1,65715,0
128,TECH5636,52,4,0,0,3,2,1,1,3,1,29805,0
129,HR2059,42,0,0,0,2,4,1,1,2,0,65715,1
130,MKT7668,39,1,1,0,1,5,2,1,8,1,86750,0
131,HR4157,35,0,0,1,1,2,2,1,7,1,29805,1
132,PUR6915,54,2,1,1,1,3,3,0,0,0,42419,0
133,SAL3693,38,3,1,1,0,3,1,0,6,1,42419,0
134,HR4627,27,0,0,1,3,2,4,0,8,0,29805,1
135,PUR6450,26,2,1,0,0,1,4,0,7,1,24076,1
136,PUR2663,27,2,0,0,3,2,1,1,7,0,29805,1
137,MKT6592,27,1,0,1,2,5,1,0,5,1,86750,0
138,PUR8392,31,2,1,0,2,1,1,0,3,1,24076,1
139,PUR2306,39,2,0,0,1,3,2,1,7,1,42419,0
140,PUR7776,35,2,1,0,3,2,2,0,2,0,29805,0
141,PUR6864,24,2,0,1,2,4,2,0,8,0,47559,0
142,TECH8526,35,4,0,1,3,4,5,1,1,0,65715,1
143,TECH9901,44,4,0,1,2,5,4,0,1,0,86750,1
144,MKT6575,43,1,1,0,0,4,4,0,6,1,65715,1
145,HR6530,49,0,0,1,2,2,3,0,9,1,29805,0
146,PUR5413,45,2,1,1,0,2,2,0,3,0,29805,0
147,HR4748,41,0,0,1,2,4,5,0,9,0,65715,1
148,HR1663,25,0,0,1,1,2,5,1,7,0,29805,0
149,MKT2998,32,1,1,1,0,5,4,1,8,1,86750,0
150,PUR8994,24,2,1,1,2,1,2,1,6,0,24076,1
151,PUR2495,54,2,1,0,1,5,3,1,4,0,86750,1
152,SAL4304,35,3,1,0,0,5,2,1,7,1,86750,1
153,HR4763,41,0,1,1,1,2,1,1,3,1,29805,0
154,HR6232,48,0,0,1,3,1,2,0,1,0,24076,0
155,TECH2853,39,4,0,0,3,2,1,1,5,1,29805,0
156,SAL7585,43,3,1,0,0,3,1,1,8,0,42419,0
157,TECH2291,36,4,0,1,2,2,3,0,0,1,29805,0
158,TECH4581,53,4,0,1,0,2,4,0,9,0,29805,1
159,TECH8554,34,4,0,1,1,2,2,1,6,0,29805,0
160,MKT8280,43,1,1,1,2,1,1,0,9,0,24076,0
161,MKT2636,34,1,0,0,3,2,2,1,8,0,29805,0
162,TECH4696,33,4,0,1,2,1,4,0,9,1,24076,1
163,SAL1698,29,3,0,1,3,4,4,1,4,1,65715,1
164,HR5737,26,0,1,1,2,3,5,0,9,1,42419,1
165,SAL1854,41,3,0,1,2,1,4,0,2,1,24076,0
166,PUR9164,23,2,0,0,2,4,3,1,4,0,65715,1
167,MKT6855,50,1,1,0,1,1,1,1,7,0,24076,1
168,HR8392,53,0,1,0,1,1,5,1,7,1,24076,1
169,HR7528,46,0,0,1,0,3,3,1,3,1,42419,0
170,PUR6249,51,2,0,1,0,5,2,1,0,1,86750,1
171,PUR6172,25,2,1,0,3,5,1,0,0,1,86750,0
172,TECH2707,35,4,1,1,1,1,4,1,3,1,24076,0
173,MKT6791,37,1,1,1,3,2,1,1,5,0,29805,1
174,MKT6535,24,1,1,0,0,4,2,0,7,0,65715,0
175,SAL5931,33,3,1,0,3,2,5,0,5,0,29805,1
176,TECH4510,26,4,1,0,0,2,5,1,8,1,29805,0
177,TECH1202,41,4,1,0,1,1,5,0,8,1,24076,1
178,TECH5218,51,4,0,1,2,1,4,0,1,1,24076,1
179,TECH9958,39,4,0,1,1,1,3,1,9,1,24076,1
180,MKT5389,25,1,1,0,3,1,3,0,0,0,24076,0
181,MKT3327,27,1,0,1,3,5,1,0,1,0,86750,1
182,TECH9004,40,4,1,0,1,1,4,1,4,1,24076,0
183,SAL3931,30,3,1,0,1,5,5,1,3,0,86750,1
184,HR8777,44,0,0,1,0,5,5,0,3,0,86750,0
185,HR1197,47,0,1,0,3,1,2,0,8,1,24076,0
186,SAL8125,46,3,0,1,3,3,2,1,7,1,42419,1
187,TECH2930,48,4,0,1,1,4,5,0,5,1,65715,1
188,MKT7287,41,1,0,1,2,2,5,0,0,1,29805,1
189,HR9800,27,0,0,1,3,5,4,0,1,1,86750,1
190,PUR5282,29,2,1,0,2,4,3,1,5,1,65715,1
191,PUR3511,43,2,0,1,1,3,2,0,1,0,42419,0
192,SAL1659,30,3,0,0,1,2,3,0,9,0,29805,1
193,TECH3811,50,4,1,0,0,2,4,1,4,1,47559,1
194,HR8098,27,0,0,0,3,5,5,0,4,0,86750,0
195,TECH7546,39,4,0,1,2,1,3,0,5,1,24076,1
196,HR2986,27,0,0,1,0,3,5,1,5,1,42419,1
197,SAL9338,26,3,0,1,3,5,5,1,5,1,86750,0
198,SAL3911,44,3,1,0,0,3,1,1,1,1,42419,1
199,PUR2734,41,2,0,0,1,1,3,1,9,0,24076,1
200,TECH2843,53,4,1,1,3,1,3,0,2,1,24076,1
201,PUR9680,54,2,1,0,0,5,5,0,5,0,86750,0
202,TECH3976,49,4,0,1,0,1,4,1,7,1,24076,1
203,PUR2959,43,2,0,0,2,4,1,1,0,1,65715,0
204,MKT6759,24,1,0,1,0,2,5,0,0,1,29805,1
205,MKT7694,33,1,0,0,3,5,2,1,1,0,86750,0
206,MKT3385,44,1,1,0,3,3,2,0,5,1,47559,1
207,MKT5736,35,1,1,1,2,4,1,1,8,1,65715,0
208,HR2802,37,0,1,0,3,5,4,0,3,1,86750,0
209,MKT9155,34,1,0,0,1,1,5,1,2,0,24076,0
210,SAL9120,44,3,1,1,3,1,3,1,7,0,24076,0
211,SAL7616,43,3,0,0,3,1,1,0,9,0,24076,0
212,HR6534,44,0,0,1,0,1,4,1,8,1,24076,0
213,MKT5061,33,1,0,1,0,3,3,0,4,0,42419,1
214,MKT1262,29,1,0,0,3,4,2,0,8,1,65715,1
215,MKT7287,50,1,0,0,2,2,2,0,1,0,29805,0
216,PUR9815,27,2,1,0,0,3,3,0,2,0,42419,0
217,TECH3049,39,4,1,0,2,3,1,0,6,1,42419,0
218,PUR6423,46,2,0,0,3,2,2,1,6,0,29805,0
219,TECH5548,42,4,1,0,3,2,5,1,5,1,29805,1
220,MKT4108,31,1,0,0,1,1,3,0,5,1,24076,0
221,MKT8158,36,1,0,1,0,3,3,1,1,0,42419,1
222,PUR8400,48,2,0,0,3,5,2,0,9,1,86750,1
223,PUR4170,34,2,1,1,1,2,1,1,5,1,29805,0
224,TECH3255,28,4,0,0,0,2,5,1,3,0,29805,0
225,SAL2154,39,3,0,0,3,4,1,1,2,0,65715,1
226,TECH5499,41,4,1,1,3,5,4,1,1,1,86750,1
227,PUR7295,41,2,1,0,0,5,4,0,0,0,86750,0
228,PUR7197,48,2,1,0,0,2,2,0,4,1,29805,0
229,HR2648,38,0,0,1,0,1,2,1,1,1,24076,0
230,PUR6539,34,2,0,0,3,4,2,1,1,0,65715,1
231,HR5199,34,0,1,0,3,5,4,0,6,0,86750,1
232,SAL9445,42,3,0,0,1,2,1,1,7,0,29805,0
233,TECH3557,54,4,1,1,2,5,1,0,9,0,86750,1
234,TECH6592,28,4,1,0,0,4,2,0,7,1,65715,1
235,HR1098,53,0,0,0,3,4,5,0,3,1,65715,0
236,TECH3200,45,4,0,1,3,3,1,1,0,0,42419,0
237,PUR3961,48,2,1,0,0,2,4,0,6,0,29805,1
238,MKT5973,26,1,1,1,2,4,3,1,0,1,65715,1
239,HR5433,28,0,1,1,0,3,3,0,3,1,42419,0
240,TECH3869,33,4,1,0,2,3,3,1,7,1,42419,0
241,HR1956,23,0,0,0,3,5,5,1,1,1,47559,0
242,HR9352,52,0,1,1,2,5,2,1,5,0,86750,0
243,MKT6699,46,1,1,1,1,3,4,0,5,1,42419,0
244,PUR7944,27,2,1,0,3,5,5,0,8,1,86750,1
245,HR5493,37,0,0,1,1,4,3,1,4,0,65715,1
246,TECH5911,49,4,0,0,0,1,4,1,9,1,24076,1
247,SAL4987,33,3,1,1,0,4,2,1,4,1,65715,1
248,HR7015,54,0,0,1,0,3,3,0,4,0,42419,0
